YEAR,Austria,Belgium,Bosnia and Herzegovina,Croatia,Czechia,Estonia,Finland,France,Germany,Hungary,Latvia,Lithuania,Luxembourg,Poland,Romania,Serbia,Slovakia,Slovenia,Sweden
1985,66.68845367,69.42857361,69.79294586,74.93352509,70.70347595,67.15789032,56.60648346,64.24928284,64.64321899,67.63961029,67.04266357,70.92666626,73.67474365,62.23814774,66.6315155,70.05726624,65.45563507,74.55586243,61.61029053
1987,66.36079407,70.77825165,67.48550415,76.7691803,69.62472534,64.53404236,58.04635239,67.07522583,64.63652039,67.30690002,66.18172455,71.14504242,75.49674988,64.0381546,64.77627563,68.99894714,75.21588898,76.38963318,62.23241806
1989,66.77627563,67.01544952,66.26208496,77.19426727,67.3441925,66.97129822,54.94717789,64.20423889,62.97647476,67.01689911,66.674263,70.31846619,72.22254181,63.00566101,65.96676636,69.61560822,73.3611908,77.085289,60.47159958
1991,64.55754089,63.31344223,68.90830231,74.71929169,68.23338318,61.86360931,53.7519455,64.31302643,61.27859879,68.50043488,65.31964874,67.26882935,69.66452789,57.34157944,62.97277069,70.1789093,71.29724121,74.96102905,56.21576309
1993,66.06512451,68.77225494,68.82929993,75.75457764,70.63616943,67.23427582,56.69220352,67.54710388,66.29101563,67.13868713,66.45391083,69.06382751,71.38624573,62.89935303,68.91242218,70.45713806,74.22780609,76.65133667,60.64706421
1995,67.82611847,70.99315643,75.62425995,79.19268799,72.86849213,71.52268219,60.34179306,67.09709167,66.33011627,70.6053009,70.85621643,72.39271545,73.52232361,65.94870758,71.46025085,75.88127899,77.18576813,77.96840668,63.6686058
1997,68.60693359,70.21713257,72.6750946,78.8030777,73.01622772,68.0194931,58.62919617,68.15748596,66.94848633,73.6283493,69.87043762,71.76306152,76.09310913,66.18450928,73.81178284,73.17370605,76.8316803,79.27615356,64.06505585
1999,70.46489716,75.89360046,72.3852005,80.77203369,75.79106903,71.31370544,57.78803635,70.30590057,69.00805664,71.97777557,71.46012115,74.46421051,77.49344635,68.12443542,71.59069824,71.95858002,79.86396027,81.48155212,66.28250122
2001,70.90862274,76.64855957,77.07669067,80.30908203,76.49195862,72.72267151,59.00638199,70.65649414,70.91535187,74.42536926,73.39842224,74.79053497,79.04805756,69.03808594,74.30174255,77.99924469,80.13412476,82.02759552,65.24816895
2003,66.64363098,70.96669769,74.27674103,74.00809479,70.09664917,69.57263947,61.73241806,65.43286896,64.74570465,68.87890625,70.04296875,73.42403412,71.88495636,64.25865173,70.70896912,70.46938324,74.84828949,77.08715057,61.73554993
2005,68.19957733,72.44916534,76.93405914,76.11555481,73.44664001,69.27600098,61.67224884,65.3564682,67.73108673,73.64687347,72.24617004,73.33818817,74.79429626,66.59765625,72.7903595,78.8572464,78.19680023,76.33816528,64.934021
2007,66.94351959,71.22929382,74.93904114,76.72563171,71.42047119,70.74784851,56.17673874,66.6269455,68.07205963,70.35105133,72.89107513,73.12693024,75.1284256,65.8635025,73.44174194,74.72486115,75.08324432,78.12873077,63.49876404
2009,67.77378845,72.92273712,76.88036346,78.2255249,72.86759186,70.66061401,59.96763229,67.41503143,68.17806244,73.06481934,70.93753052,72.74015045,76.45298004,67.41857147,74.88867188,77.33370209,77.26513672,78.61978912,61.92121124
2011,67.16142273,69.40485382,76.74995422,78.1866684,71.55871582,70.48279572,58.50068665,64.5815506,64.61172485,72.95745087,71.89842224,73.44731903,73.2684021,67.00872803,73.18534088,76.40042114,77.29264832,77.84507751,53.9776001
2013,72.59900665,79.78882599,79.20433807,81.31655884,78.04236603,77.91242981,69.79563141,75.00844574,74.45844269,78.0714798,77.86159515,80.0071106,80.48625946,74.1568222,79.47412872,79.55705261,82.9546814,81.6205368,71.90216827
2015,74.20030975,78.79169464,79.16688538,83.24268341,78.65538025,78.11195374,68.80787659,72.4655838,73.74411011,77.32261658,78.623909,80.15466309,78.51578522,74.17228699,78.95072174,80.64086151,83.45316315,83.19345856,71.45957184
2017,74.04510498,75.26678467,78.32165527,81.9040451,77.09633636,75.70178986,68.15712738,72.24637604,70.28549194,76.50856781,77.24158478,79.29943085,77.97011566,73.13118744,78.89903259,80.79113007,81.87438202,82.68746948,70.43750763
2019,74.20700073,77.11775208,81.78149414,83.1566391,77.93697357,77.6881485,67.02217865,71.61697388,71.56929016,79.11133575,77.58535767,78.25054932,77.24636078,72.72141266,80.36837006,83.14214325,83.1995697,83.65991974,71.08547974
