YEAR,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Estonia,Finland,France,Germany,Hungary,Latvia,Lithuania,Luxembourg,Netherlands,Poland,Slovakia,Slovenia,Spain,Sweden,Switzerland
1985,67.28100586,69.56962585,71.53592682,68.75704956,75.26952362,70.95279694,64.67787933,56.66597366,65.87506104,64.98355103,58.26766205,66.98807526,71.15273285,74.73805237,59.93856812,62.0908165,60.30286789,74.55431366,55.75163269,59.76589203,68.15103912
1987,68.63423157,71.01602936,69.01338196,69.5240097,77.21168518,69.45706177,63.48047256,58.05286789,69.0545578,64.36978912,60.76638794,66.11954498,71.53247833,76.45964813,60.71048737,65.0559845,71.29363251,76.30911255,61.19152069,61.39145279,66.10516357
1989,69.04639435,67.17982483,70.70965576,69.04039764,78.0368576,67.64671326,68.21817017,54.34989929,66.52037811,63.53009033,53.93993378,66.59571075,70.87998962,73.57505798,56.09947205,62.93600845,69.97954559,77.09803009,58.28683853,58.92203903,68.02198792
1991,64.72753143,63.6362648,67.61535645,69.21038055,75.27960205,68.43242645,64.29608154,54.00047684,66.2692337,61.53928757,57.92366791,65.24733734,67.69049072,70.48592377,51.85467529,57.96691132,66.4881134,74.98595428,56.71674728,56.21700287,64.91699982
1993,67.3132782,69.24559784,70.74129486,69.84996796,76.2950058,70.66389465,66.74504852,56.26697159,68.85700989,66.82254791,59.51464462,66.39083099,69.20122528,72.62937164,59.44485092,63.57614899,70.3458786,76.6182785,60.15144348,58.55011749,69.21755219
1995,69.95604706,71.03068542,76.25795746,73.74552155,79.65896606,72.47885895,71.00113678,60.80401993,68.3171463,66.75193787,62.40795517,70.79295349,72.9716568,75.03449249,61.587677,66.71009827,72.62710571,77.88648987,60.46516037,63.48231125,68.72683716
1997,70.35813141,70.29150391,72.19578552,73.33347321,79.16329193,72.81066132,67.68061066,58.24740601,69.46268463,67.58585358,65.76483154,69.83621216,72.06214905,77.20085144,59.58525848,66.57707977,73.52703857,79.20742798,61.09573746,62.305439,70.38977814
1999,71.54949188,75.99047089,75.28853607,74.54515839,81.24252319,75.65316772,71.60031128,57.1104393,72.12251282,69.8405838,63.59691238,71.37169647,75.09766388,79.06304169,65.85939789,69.31224823,74.30499268,81.4201889,63.58240891,65.13219452,73.40769958
2001,72.28845978,76.9465332,76.93658447,74.33620453,80.72865295,76.32899475,71.60921478,57.72274017,71.57819366,71.79357147,63.95407104,73.33960724,75.92305756,80.59410095,64.83717346,69.52662659,76.59600067,82.00139618,63.30700684,63.50886154,74.91203308
2003,68.38736725,71.26618958,76.78314972,74.56214905,74.32339478,70.37111664,70.36775208,62.54580307,67.37814331,65.41033173,59.49921799,70.00180054,74.11945343,73.83603668,57.69133377,65.63302612,69.5695343,77.02173615,60.45337296,63.28124619,67.02285767
2005,67.99273682,72.80675507,78.08973694,75.94940186,76.35301971,73.10441589,70.55154419,61.94054413,67.09710693,68.09693146,66.95228577,72.20713043,73.97494507,76.26399994,61.90435791,67.52570343,73.68136597,76.25760651,58.84941864,63.05815506,69.13716125
2007,68.52414703,71.54468536,77.16743469,72.61410522,77.20687866,71.93166351,72.08539581,55.54341888,66.27246094,68.39455414,62.12229156,72.84647369,73.79412842,76.34550476,60.64588165,66.91802216,69.86550903,78.09116364,63.67466354,63.62340927,69.73826599
2009,69.06106567,73.07395935,77.42339325,76.7288208,78.70952606,72.45668793,70.68179321,60.00188065,68.53666687,68.29644775,64.69002533,70.8753891,73.10523987,78.05754089,60.86505127,68.29888916,72.46992493,78.57488251,62.67404556,61.24636078,70.92042542
2011,68.93009949,69.6102066,77.4535675,77.38245392,78.6630249,71.55897522,72.00080109,58.6750145,66.37954712,64.8649292,63.89395523,71.85708618,74.08817291,74.00809479,58.07522964,68.00238037,73.09483337,77.7485199,61.1679306,56.56993866,68.03656769
2013,73.65445709,80.01340485,81.78417969,80.64499664,81.5759964,77.22792053,79.03057861,70.31809998,75.799263,74.8216095,69.56070709,77.81464386,80.50263214,81.75325012,67.52462006,75.10761261,78.9600296,81.58787537,69.52696228,71.64648438,75.77373505
2015,75.35705566,78.93038177,84.22944641,80.57448578,83.63288879,77.87562561,79.64073181,69.09926605,72.57099915,74.389328,66.09519958,78.58834076,80.89575958,80.21788025,68.21000671,75.48047638,80.05461884,83.15086365,68.64015198,70.92874908,75.28897858
2017,74.69898224,75.42637634,82.9391861,81.3143158,82.53279877,76.39443207,77.15481567,68.43444824,72.50606537,71.05279541,69.08739471,77.19452667,80.01567078,79.57911682,63.8201828,74.34936523,78.66669464,82.63750458,69.11429596,70.2460022,72.02936554
2019,75.29880524,77.29569244,84.04209137,80.4919281,83.49742126,77.85601807,79.03239441,67.14451599,72.11251068,72.01141357,72.40527344,77.53604126,79.08222961,79.35448456,67.71162415,73.59437561,78.72853088,83.6145401,70.06856537,69.77519226,75.86401367
